Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Marathon Swimming,Women's 10km,,,2024-08-08T05:30:00.000+00:00,medal match
Golf,Women's Individual Stroke Play Round 2,,,2024-08-08T07:00:00.000+00:00,
Taekwondo,Men -68kg Qualification Contest,,,2024-08-08T07:00:00.000+00:00,
Diving,Women's 3m Springboard Semifinal,,,2024-08-08T08:00:00.000+00:00,
Rhythmic Gymnastics,Individual All-Around Qualification - Part 1 of 2,,,2024-08-08T08:00:00.000+00:00,
Sport Climbing,"Women's Boulder & Lead, Semifinal Lead",,,2024-08-08T08:00:00.000+00:00,
Table Tennis,Men's Team Semifinal,,,2024-08-08T08:00:00.000+00:00,
Athletics,Women's Heptathlon 100m Hurdles,,,2024-08-08T08:05:00.000+00:00,
Athletics,Women's Shot Put Qualification,,,2024-08-08T08:25:00.000+00:00,
Canoe Sprint,Women's Canoe Single 200m Heats,,,2024-08-08T08:30:00.000+00:00,
Athletics,Women's 100m Hurdles Repechage Round,,,2024-08-08T08:35:00.000+00:00,
Modern Pentathlon,"Men's Individual, Fencing Ranking Round",,,2024-08-08T09:00:00.000+00:00,
Athletics,Women's Heptathlon High Jump,,,2024-08-08T09:05:00.000+00:00,
Athletics,Women's 4 x 100m Relay Round 1,,,2024-08-08T09:10:00.000+00:00,
Athletics,Men's 4 x 100m Relay Round 1,,,2024-08-08T09:35:00.000+00:00,
Canoe Sprint,Women's Kayak Four 500m Semifinal 1,,,2024-08-08T09:40:00.000+00:00,
Athletics,Men's 800m Repechage Round,,,2024-08-08T10:00:00.000+00:00,
Sport Climbing,"Men's Speed, Quarterfinals",,,2024-08-08T10:35:00.000+00:00,
Canoe Sprint,Women's Canoe Single 200m Quarterfinals,,,2024-08-08T10:40:00.000+00:00,
Sport Climbing,"Men's Speed, Semifinals",,,2024-08-08T10:46:30.000+00:00,
Sport Climbing,"Men's Speed, Final",,,2024-08-08T10:54:30.000+00:00,medal match
Water Polo,Women's Classification 5th-8th,,,2024-08-08T11:00:00.000+00:00,
Canoe Sprint,Women's Kayak Four 500m Final A,,,2024-08-08T11:40:00.000+00:00,medal match
Canoe Sprint,Men's Kayak Four 500m Final A,,,2024-08-08T11:50:00.000+00:00,medal match
Hockey,Men's Bronze Medal Match (#M37),,,2024-08-08T12:00:00.000+00:00,
Modern Pentathlon,"Women's Individual, Fencing Ranking Round",,,2024-08-08T12:30:00.000+00:00,
Water Polo,Women's Semifinal,,,2024-08-08T12:35:00.000+00:00,
Diving,Men's 3m Springboard Final,,,2024-08-08T13:00:00.000+00:00,medal match
Rhythmic Gymnastics,Individual All-Around Qualification - Part 2 of 2,,,2024-08-08T13:00:00.000+00:00,
Table Tennis,Women's Team Semifinal,,,2024-08-08T13:00:00.000+00:00,
Weightlifting,Women's 59kg,,,2024-08-08T13:00:00.000+00:00,medal match
